artigoEmPeriodico	 	2018		Acoustic radiation force impulse elastography of the eyes of brachycephalic dogs	ARQUIVO BRASILEIRO DE MEDICINA VETERINARIA E ZOOTECNIA	ABREU, T. G. M. ; FELICIANO, M. A. R. ; RENZO, R. ; KOBASHIGAWA, K. K. ; CHACALTANA, F. D. Y. C. ; CRIVELARO, R. M. ; ALDROVANI, M. ; MARONEZI, M. C. ; Thiesen, R. ; LAUS, J. L.		
resumoExpandidoEmCongresso	 	2015	PROPOSTA DE APERFEIÇOAMENTO PARA CUIDADORES DE IDOSOS FORMAIS E INFORMAIS	VII Salão Internacional de Ensino, Pesquisa e Extensão ? Universidade Federal do Pampa, 2015, Bagé. VII Salão Internacional de Ensino, Pesquisa e Extensão ? Universidade Federal do Pampa	CANDIA, E. M. ; SANTOS, C. S. ; PERRONI, B. M. ; MARTINS, G. ; CARPES, Felipe Pivetta		
resumoExpandidoEmCongresso	 	2015	Avaliação da rotulagem e embalagem de méis comercializados no município de Uruguaiana ? Rio Grande do Sul	VIII Congresso Latinoamericano de Higienistas de Alimentos, 2015, Búzios. Revista Higiene Alimentar	CASTRO, B. G. ; MIILLER, I. N. ; LIBRELOTTO, N. L. ; SOARES, V. M. ; PEREIRA, J. G.		
resumoExpandidoEmCongresso	 	2015	GRUPOS DE ESTUDOS DO PIBID: ESPAÇOS DE FORMAÇÃO DOCENTE	VII Salão Internacional de Ensino, Pesquisa e Extensão, 2015, Alegrete. GRUPOS DE ESTUDOS DO PIBID: ESPAÇOS DE FORMAÇÃO DOCENTE	CAUDURO, A. ; CARPES, L. ; MESSIAS, Marta Iris Camargo		
resumoExpandidoEmCongresso	 	2015	Impacto do peso de compra sobre o desempenho de terneiros em recria na bovinocultura de corte	I amostra cientifica de buiatria, 2015, Urguaiana. Anais da I amostra cientifica de buiatria	CHRISTMANN, C. M. ; EBLING, F. R. ; CARVALHO, M. A. L. ; GIUDICE, B. B. ; Oaigen, Ricardo Pedroso		
resumoExpandidoEmCongresso	 	2015	UTILIZAÇÃO DA MÚSICA COMO UM REDUTOR DE ANSIEDADE NO TRATAMENTO DA DEPENDÊNCIA QUÍMICA	VII Salão Internacional de Ensino, Pesquisa e Extensão, 2015, Alegrete - RS. VII Salão Internacional de Ensino, Pesquisa e Extensão	CLARO, L. V. ; DELEVATI, D. S. ; SINIAK, DÉBORA		
resumoExpandidoEmCongresso	 	2015	A IMPORTÂNCIA DAS OFICINAS TERAPÊUTICAS PARA OS USUÁRIOS DO CAPS: RELATO DE EXPERIÊNCIA	VII SIEPE, 2015, Alegrete. Anais do Salão Internacional de Ensino, Pesquisa e Extensão	COFFY, G. ; SINIAK, D. S.		
resumoExpandidoEmCongresso	 	2015	A monitoria no ensino da microbiologia para cursos de Fisioterapia e Enfermagem na UNIPAMPA	VII Salão Internacional de Ensino, Pesquisa e Extensão, 2015, Alegrete. Anais do VII Salão Internacional de Ensino, Pesquisa e Extensão	CORREA JUNIOR, J. V. ; Stopiglia, Cheila Denise Ottonelli ; NICORENA, K.		
resumoExpandidoEmCongresso	 	2015	PROTOCOLO ELETRORRETINOGRÁFICO PARA OVINOS	30ª JORNADA ACADÊMICA INTEGRADA DA UFSM, 2015, Santa Maria. Anais da 30ª JORNADA ACADÊMICA INTEGRADA DA UFSM	CORREA, L. F. D. ; BRUN, M. V. ; FERANTI, J. P. S. ; OLIVEIRA, M.T. ; HARTMANN, H. F. ; LINHARES, M. T.		
resumoExpandidoEmCongresso	 	2015	A CONSULTA DE ENFERMAGEM EM PUERICULTURA SOB A ÓTICA DE ACADÊMICOS DE ENFERMAGEM: UM RELATO DE EXPERIÊNCIA	II Simpósio Internacional do NEPEn, 2015, Pelotas/RS. ANAIS DE EVENTO - II SIMPÓSIO INTERNACIONAL DO NEPEN	DALMOLIN, A. ; GIRARDON-PERLINI, N. M. O. ; STAMM, B. ; OLIVEIRA, G.		
resumoExpandidoEmCongresso	 	2015	A CONSULTA DE ENFERMAGEM COMO FORMA DE ASSISTÊNCIA NO CUIDADO PRÉ-NATAL: UM RELATO DE EXPERIÊNCIA	II Simpósio Internacional do NEPEn, 2015, Pelotas/RS. Anais do II Simpósio Internacional do NEPEn	DALMOLIN, A. ; GIRARDON-PERLINI, N. M. O. ; STAMM, B. ; OLIVEIRA, G.		
resumoExpandidoEmCongresso	 	2015	ANÁLISE DA EVASÃO NO CURSO DE CIÊNCIAS DA NATUREZA DA UNIPAMPA, CAMPUS URUGUAIANA	VII Salão Internacional de Ensino, Pesquisa e Extensão, 2015, Alegrete. VII Salão Internacional de Ensino, Pesquisa e Extensão	DINARDI, A. J.; PINHEIRO, A. L.		
resumoExpandidoEmCongresso	 	2015	TUA CIDADE TAMBÉM É O PAMPA: UMA PERSPECTIVA PARA O PROCESSO DE ENSINO APRENDIZAGEM	VII Salão Internacional de Ensino, Pesquisa e Extensão, 2015, Alegrete-RS. VII Salão Internacional de Ensino, Pesquisa e Extensão	DINARDI, A. J.; TAHA, M. S. ; THOMAZ, J. R.		
resumoExpandidoEmCongresso	 	2015	A CONTRIBUIÇÃO DO FARMACÊUTICO PARA A PROMOÇÃO DA SAÚDE UTILIZANDO A RÁDIO COMO FERRAMENTA	Salão Internacional de Ensino, Pesquisa e Extensão da Universidade Federal do Pampa, 2015, Alegrete. Anais do Salão Internacional de Ensino, Pesquisa e Extensão da Universidade Federal do Pampa	ETCHEVERRIA, L. L. ; MELO, C. A. R. ; OLIVEIRA, L. F. S. ; MACHADO, M. M. ; FAORO, D. ; Farias, F.M		
resumoExpandidoEmCongresso	 	2015	MEIO AMBIENTE E EDUCAÇÃO AMBIENTAL: CONCEPÇÕES DOS LICENCIANDOS DE CIÊNCIAS DA NATUREZA	VII Salão Internacional de Ensino,Pesquisa e Extensão, 2015, Alegrete-RS. VII Salão Internacional de Ensino,Pesquisa e Extensão	FELIPPELLI, F. E. ; DINARDI, A. J.		
resumoExpandidoEmCongresso	 	2015	CORRELAÇÃO ENTRE PRESSÕES RESPIRATÓRIAS E NÚMERO DE DEGRAUS SUBIDOS NO TESTE DO DEGRAU	VII SIEPE - Salão Internacional de Ensino, Pesquisa e Extensão, 2015, Alegrete. Anais do VII Salão Internacional de Ensino, Pesquisa e Extensão	FERREIRA, J. M. ; DUMKE, A. ; SA, M. V. ; ALVES, G. B. ; SCHMIDT, P.		
resumoExpandidoEmCongresso	 	2015	Desempenho reprodutivo de borregas e ovelhas Ile de France e Crioula submetidas a protocolo hormonal curto e longo para sincronização de cios e inseminação artificial em tempo fixo	I Mostra Científica de Buiatria. III Workshop em Bovinos, 2015, Uruguaiana. Anais da I Mostra Científica de Buiatria. III Workshop em Bovinos	FIEDLE, E. R. ; Severo, R.G. ; Haigert, M. ; Becker, I. ; Noro, M. ; BASTOS, Guilherme de Medeiros		
resumoExpandidoEmCongresso	 	2015	Desempenho reprodutivo de borregas e ovelhas das raças Ile de France e Crioula submetidas a protocolo hormonal curto e longo para sincronização de cios e inseminação artificial em tempo fixo	I Mostra em Buiaitra, III Workshop Bovino, 2015, Uruguaiana. Anais I Mostra em Buiaitria	FIEDLER, E. ; SEVERO, R. G. ; HAIGERT, M. A. ; BECKER, I. ; NORO, M. ; BASTOS, G. M.		
resumoExpandidoEmCongresso	 	2015	A REALIZAÇÃO DA PESQUISA SOCIOANTROPOLÓGICA: CONTRIBUIÇÕES PARA A FORMAÇÃO DOCENTE EM CIÊNCIAS DA NATUREZA	Salão Internacional de Ensino, Pesquisa e Extensão, 2015, Alegrete. Anais do Salão Internacional de Ensino, Pesquisa e Extensão	FRANCO, R. M. ; ARAUJO, S. C. ; HIJAZIN, S. H. A. S. J. ; CARRICO, M. R. S. ; GALARCA, R. C. G. ; SILVA, F. F.		
resumoExpandidoEmCongresso	 	2015	A OFICINA ECOLOCALIZAÇÃO: OS MORCEGOS E AS ONDAS SONORAS UMA POSSIBILIDADE ESTRATÉGICA DE ENSINO INTERDISCIPLINAR	Salão Internacional de Ensino, Pesquisa e Extensão, 2015, Alegrete. Anais do Salão Internacional de Ensino, Pesquisa e Extensão	FRANCO, R. M. ; HIJAZIN, S. H. A. S. J. ; SOARES, C. B. ; PERAZZO, G. X. ; SILVA, F. F.		
resumoExpandidoEmCongresso	 	2015	OFICINA DE PRODUÇÃO DE SABONETES ARTESANAIS: APROXIMANDO FAMÍLIA E ESCOLA	Salão Internacional de Ensino, Pesquisa e Extensão, 2015, Alegrete. Anais do Salão Internacional de Ensino, Pesquisa e Extensão	GOBBI, C. C. ; VALE, A. T. ; BORDIGNON, A. P. ; ROCHA, C. E. S. ; ARCARO, J. M. N. ; SILVA, F. F.		
resumoExpandidoEmCongresso	 	2015	USO DE PLANTAS MEDICINAIS POR INDIVÍDUOS DIABÉTICOS EM URUGUAIANA: POSSÍVEIS INTERAÇÕES MEDICAMENTOSAS	Salão Internacional de Ensino, Pesquisa e Extensão da Universidade Federal do Pampa, 2015, Alegrete. Anais do Salão Internacional de Ensino, Pesquisa e Extensão da Universidade Federal do Pampa	GODOI, J. P. ; GUTERRES, L. S. ; BRUSCATTO, C. M. ; QUEVEDO, E. G. ; FARIAS, F.		
resumoExpandidoEmCongresso	 	2015	Genetic Characterization and Its Influences On The Price of Calves Sold in The Western Border of Rio Grande do Sul State	52ª Reunião Anual da Sociedade Brasileira de Zootecnia, 2015, Belo Horizonte, MG. Anais da 52ª Reunião Anual da Sociedade Brasileira de Zootecnia	GONCALVES, T. L. ; BERTODO, G. O. ; Oaigen, Ricardo Pedroso ; CHRISTOFARI, Luciana Fagundes ; CHRISTMANN, C. M. ; ROMERO, B. G. ; Barcellos, J.O.J.		
resumoExpandidoEmCongresso	 	2015	NOITE DA PECUÁRIA: UM PROJETO DE EXTENSÃO RURAL E UNIVERSITÁRIA	IV Salão Internacional de Ensino, Pesquisa e Extensão, 2015, Alegrete - RS. Anais do IV Salão Internacional de Ensino, Pesquisa e Extensão	Gonçalves, T.L. ; Giudice, B.B. ; Bertodo, G.O. ; Oaigen, R.P. ; BASTOS, Guilherme de Medeiros		
resumoExpandidoEmCongresso	 	2015	Análise do perfil de bezerros comercializados na Fronteira Oeste do Rio Grande do Sul	III workshop em bovinos, 2015, Uruguaiana. Anais da I Amostra Científica em Bovinos	Gonçalves, T.L. ; Bertodo, G.O. ; Carvalho, M.A.L. ; BASTOS, Guilherme de Medeiros ; Oaigen, R.P.		
resumoExpandidoEmCongresso	 	2015	Desempenho reprodutivo de três categorias de vacas de corte submetidas ao protocolo hormonal de inseminação artificial com detecção de estro e em tempo fixo - IAETF	I amostra cientifica de buiatria, 2015, Uruguaiana. Anais da I amostra cientifica de buiatria	GRUNDEMANN, J. T. ; MARTINS, V. A. P. ; KLEINUBING, M. F. ; SILVA, W. K. ; Oaigen, Ricardo Pedroso ; BASTOS, G. M.		
resumoExpandidoEmCongresso	 	2015	Desempenho produtivo e reprodutivo de novilhas de corte submetidas a aplicação injetável de Fosfosal	I Mostra Científica de Buiatria. III Workshop em Bovinos, 2015, Uruguaiana. Anais da I Mostra Científica de Buiatria. III Workshop em Bovinos	Grundemann, J.T. ; Andreazza, M. ; Noro, M. ; Castagnara, D.D. ; Neves, N.F. ; BASTOS, Guilherme de Medeiros		
resumoExpandidoEmCongresso	 	2015	Desempenho de diferentes categorias de vacas de corte submetidas a um protocolo de inseminação artificial com detecção de estro e em tempo fixo (IAETF)	I Mostra Científica de Buiatria. III Workshop em Bovinos, 2015, Uruguaiana. Anais da I Mostra Científica de Buiatria. III Workshop em Bovinos	Grundemann, J.T. ; Pavão, V.A. ; Kleinubing, M.F. ; Rodrigues, R.D. ; Oaigen, R.P. ; BASTOS, Guilherme de Medeiros		
resumoExpandidoEmCongresso	 	2015	Variaciones en la composición de la leche entre diferentes sesiones de ordeños diarios	XLIII Jornadas Uruguayas de Buiatría, 2015, Paysandú. Anales XLIII Jornadas Uruguayas de Buiatría	GUIMARAES, L. ; NORO, M. ; González, F.H.D ; BONDAN, C.		
resumoExpandidoEmCongresso	 	2015	PERFIL DO USO DE MEDICAMENTOS E PLANTAS ENTRE USUÁRIOS DO CRAS DO MUNICÍPIO DE URUGUAIANA	Salão Internacional de Ensino, Pesquisa e Extensão da Universidade Federal do Pampa, 2015, Alegrete. Anais do Salão Internacional de Ensino, Pesquisa e Extensão da Universidade Federal do Pampa	GUTERRES, L. S. ; QUEVEDO, E. G. ; BRUSCATTO, C. M. ; GODOI, J. P. ; FARIAS, F.		
resumoExpandidoEmCongresso	 	2015	NEFRECTOMIA E OVARIOHISTERECTOMIA SIMULTÂNEAS POR ABORDAGEM VIDEOASSSTIDA EM CADELA PARASITADA POR DIOCTOPHYMA RENALE E ACOMETIDA POR PIOMETRA	30ª JORNADA ACADÊMICA INTEGRADA DA UFSM, 2015, Santa Maria. Anais da 30ª JORNADA ACADÊMICA INTEGRADA DA UFSM	HARTMANN, H. F. ; BRUN, M. V. ; LINHARES, M. T. ; OLIVEIRA, M.T. ; FERANTI, J. P. S. ; CORREA, L. F. D. ; DOMINGUES, L. T.		
resumoExpandidoEmCongresso	 	2015	PROJETO ENVELHECER: ATIVIDADE BUCAL COM PESSOAS IDOSAS	VII Salão Internacional de Ensino, Pesquisa e Extensão (SIEPE), 2015, Alegrete. Anais do VII Salão Internacional de Ensino, Pesquisa e Extensão ? Universidade Federal do Pampa	HILGERT, R. M. ; TIER, C. G. ; SCHERF, B. G.		
resumoExpandidoEmCongresso	 	2015	Composição láctea em vacas com acidose ruminal sub-aguda (SARA)	II Simpósio Internacional de Produção Leiteira, 2015, Santa Maria. I Mostra Científica em Produção Leiteira	KALB, A. L. ; CUCUNUBO, L.G. ; STRIEDER-BARBOZA, C. ; NORO, M.		
resumoExpandidoEmCongresso	 	2015	Ações Interdisciplinares para Promoção da Saúde Física e Cognitiva em Idosos: relato de experiência	VII Salão Internacional de Ensino, Pesquisa e Extensão ? Universidade Federal do Pampa, 2015, Bagé. VII Salão Internacional de Ensino, Pesquisa e Extensão ? Universidade Federal do Pampa	LAUER, M. K. ; CRESTANI, T. R. ; NUNES, D. S. ; PRIARIO, L. A. A. ; CECCON, F. G. ; CARPES, Felipe Pivetta		
resumoExpandidoEmCongresso	 	2015	Relação do índice de desenvolvimento humano das cidades da metade sul do Rio Grande do Sul e os serviços que prestam assistencia nefrológica	Semana Integrada de Ensino, Pesquisa e Extensão da UFPel, 2015, Pelotas, RS, Brasil. Anais da Semana Integrada de Ensino, Pesquisa e Extensão da UFPel. Pelotas, RS, Brasil: UFPel	LECCE, Treici Marques ; DOS SANTOS, Bianca Pozza ; GARCIA, Raquel Pötter ; MARTINS, Maria Angélica Teixeira ; FEIJÓ, Aline Machado ; SCHWARTZ, Eda		
resumoExpandidoEmCongresso	 	2015	Estudo de Aglomerados Estelares em Complexos de Formação Estelar da Galáxia com o VVV	XXXIX Reunião Anual da SAB, 2015, Ouro Preto. Boletim da Sociedade Astronômica Brasileira, Vol. 33, No. 1, 2015	LIMA, E. F.; BIANCHIN, M. ; BICA, E. ; RIFFEL, R. A. ; BONATTO, C. ; SAITO, R. K.		
resumoExpandidoEmCongresso	 	2015	CORREÇÃO CIRÚRGICA DE HÉRNIA HIATAL ESOFÁGICA DESLIZANTE EM UM CÃO	30ª JORNADA ACADÊMICA INTEGRADA DA UFSM, 2015, Santa Maria. Anais da 30ª JORNADA ACADÊMICA INTEGRADA DA UFSM	LINHARES, M. T. ; BRUN, M. V. ; HARTMANN, H. F. ; CORREA, L. F. D. ; OLIVEIRA, M.T. ; FERANTI, J. P. S. ; CORADINI, G. P.		
resumoExpandidoEmCongresso	 	2015	O Amortecimento Durante a Centrifugação para a Seleção de Espermatozoides Bovinos não reduz a Taxa de Recuperação	III Workshop em Bovinos, 2015, Uruguaiana-RS. I Mostra Científica de Buiatria	MACHADO, C. I. I. U. F. ; MISSIO, D. ; MATTOS, K. ; FOLCHINI, N. P. ; Brum, D.S.		
resumoExpandidoEmCongresso	 	2015	Indicadores metabólicos de ovelhas esquiladas no pré-parto e peso dos cordeiros	III Workshop em Bovinos, 2015, Uruguaiana. Anais I Mostra Científica de Buiatria	MACHADO, J. M. ; AUZANI, P. E. ; DALL``ASTA, L. S. ; BICCA, D. F. ; BASTOS, G. M. ; NORO, M.		
resumoExpandidoEmCongresso	 	2015	AVALIAÇÃO SOBRE O CONHECIMENTO DO USO DE PLANTAS MEDICINAIS EM DOIS GRUPOS DE IDOSOS	VII Salão Internacional de Ensino, Pesquisa e Extensão, 2015, Alegrete. Anais do VII Salão Internacional de Ensino, Pesquisa e Extensão	MACHADO, R. S. ; PIJUAN, P. L. ; BRUM, V. S. ; MOREIRA, A. P. G. ; OLIVEIRA, L. F. S. ; FARIAS, F.		
resumoExpandidoEmCongresso	 	2015	Segmentação do Mercado Consumidor da Carne de Búfalo em Belém, Pará, Brasil	52a Reunião Anual da Sociedade Brasileira de Zootecnia, 2015, Belo Horizonte. Anais da 52a Reunião Anual da Sociedade Brasileira de Zootecnia	MARQUES, C. S. S. ; Oaigen, R.P. ; LIMA, M.M. ; CORREA, R. P.		
resumoExpandidoEmCongresso	 	2015	Market Segmentation Consumer buffalo meat in Belém, Pará, Brazil	52ª Reunião Anual da Sociedade Brasileira de Zootecnia, 2015, Belo Horizonte, MG. Anais da 52ª Reunião Anual da Sociedade Brasileira de Zootecnia	MARQUES, C. S. S. ; Oaigen, Ricardo Pedroso ; LIMA, M.M. ; CORREA, R. P.		
resumoExpandidoEmCongresso	 	2015	PERFIL DE CUIDADORES DE IDOSOS QUE BUSCAM UM CURSO DE CAPACITAÇÃO	VII Salão Internacional de Ensino, Pesquisa e Extensão ? Universidade Federal do Pampa, 2015, Bagé. VII Salão Internacional de Ensino, Pesquisa e Extensão ? Universidade Federal do Pampa	MARTINS, G. ; PERRONI, B. M. ; CECCON, F. G. ; CARPES, Felipe Pivetta		
resumoExpandidoEmCongresso	 	2015	Comportamento dos Preços do Boi Gordo e do Bezerro na Fronteira Oeste do Rio Grande do Sul	52ª Reunião Anual da Sociedade Brasileira de Zootecnia, 2015, Belo Horizonte, MG. Anais da 52ª Reunião Anual da Sociedade Brasileira de Zootecnia	MARTINS, V. A. P. ; CHRISTMANN, C. M. ; EBLING, F. R. ; CARVALHO, M. A. L. ; ENGELHARDT, J. C. ; BASTOS, G. M. ; OAIGEN, Ricardo Pedroso		
resumoExpandidoEmCongresso	 	2015	Leishmaniose visceral canina em Uruguaiana (RS) - Relato de caso autóctone e dados epidemiológicos do período de 2009 a 2013	42º Conbravet, 2015, Curitiba. Anais 42º Conbravet	MASSIA, L. I. ; LAMIDRIL, R. D. Q. ; WELICKS, J. R. ; VALENTE, R. S. ; BITTENCOURT, R. ; PELLEGRINI, D. C. P.		
resumoExpandidoEmCongresso	 	2015	Mostra Científica de Buiatria: uma ferramenta para divulgação da pesquisa científica	VII Salão Internacional de Ensino, Pesquisa e Extensão, 2015, Alegrete-RS. Anais do VII Salão Internacional de Ensino, Pesquisa e Extensão	MATTOS, K. ; MISSIO, DANIELE ; LEIVAS, F.G. ; NORO, M. ; Brum, Daniela dos Santos		
resumoExpandidoEmCongresso	 	2015	Ações interdisciplinares para a promoção da saúde física e cognitiva de idosos	33º Seminário de Extensão Universitária da Região Sul, 2015, Bagé. Anais do 33º Seminário de Extensão Universitária da Região Sul	MAYCA, M. ; PERRONI, B. M. ; CECCON, F. G. ; CARPES, FP		
resumoExpandidoEmCongresso	 	2015	A RELAÇÃO EDUCAÇÃO FÍSICA E CIÊNCIA: A EXPERIÊNCIA DO PIBID UNIPAMPA CAMPI DE URUGUAIANA	VII Salão Internacional de Ensino, Pesquisa e Extensão, 2015, Alegrete. A RELAÇÃO EDUCAÇÃO FÍSICA E CIÊNCIA: A EXPERIÊNCIA DO PIBID UNIPAMPA CAMPI DE URUGUAIANA	MEDEIROS, D. ; NORONHA, D. M. ; FIDELIS, A. J. C. ; PINTO, A. R. B. ; MESSIAS, Marta Iris Camargo		
resumoExpandidoEmCongresso	 	2015	UNIPAMPA DEBATES: A EXPERIÊNCIA DE UM PROGRAMA DE RÁDIO VOLTADO À DIVULGAÇÃO CIENTÍFICA	Salão internacional de ensino, pesquisa e extensão da Universidade Federal do Pampa, 2015, Alegrete. Anais do Salão internacional de ensino, pesquisa e extensão da Universidade Federal do Pampa	MELO, C. A. R. ; HIJAZIN, S. H. A. S. J. ; FAORO, D. ; Farias, F.M		
resumoExpandidoEmCongresso	 	2015	Por Dentro dos Animais - Fauna do Bioma Pampa	Salão Internacional de Ensino, Pesquisa e Extensão, 2015, Alegrete. Anais Salão Internacional de Ensino, Pesquisa e Extensão	MENDES, V. P. ; FARIA, A. M. ; LEAO NETO, L. F. ; CARVALHO, A. D. ; SOUZA JUNIOR, P.		
resumoExpandidoEmCongresso	 	2015	Escore de enchimento ruminal em vacas leiteiras com transtornos clínicos no período de transição pós-parto: estudo preliminar	III Workshop em Bovinos, 2015, Uruguaiana. Anais I Mostra Científica de Buiatria	MEOTTI, O. ; BATISTA, C. P. ; NORO, M.		
resumoExpandidoEmCongresso	 	2015	PROGRAMA DE AÇÕES INTERDISCIPLINARES PARA SAÚDE FÍSICA E COGNITIVA DE IDOSOS: RELATO DAS ATIVIDADES	VII Salão Internacional de Ensino, Pesquisa e Extensão ? Universidade Federal do Pampa, 2015, Bagé. VII Salão Internacional de Ensino, Pesquisa e Extensão ? Universidade Federal do Pampa	MESSA, C. E. ; MARTINS, G. ; SILVA, C. C. ; SCHIMIDT, H. L. ; CARPES, FP		
resumoExpandidoEmCongresso	 	2015	IMPLEMENTAÇÃO DOS CUIDADOS DE ENFERMAGEM EM UM SERVIÇO DE SAÚDE MENTAL: UM RELATO DE EXPERIÊNCIA	VII SIEPE, 2015, Alegrete. Anais do Salão Internacional de Ensino, Pesquisa e Extensão	MESSA, C. E. ; SINIAK, D. S. ; GASPARATTO, B. S. R. ; MARQUES, C. L. M. ; RIOS, E. M.		
resumoExpandidoEmCongresso	 	2015	JOGAR E BRINCAR: LEI 10.639/03 NA PRÁTICA DAS AÇÕES DO NOVEMBRO NEGRO PIBID	VII Salão Internacional de Ensino, Pesquisa e Extensão, 2015, Alegrete. JOGAR E BRINCAR: LEI 10.639/03 NA PRÁTICA DAS AÇÕES DO NOVEMBRO NEGRO PIBID	MESSIAS, Marta Iris Camargo; BARBOSA, A. R.		
resumoExpandidoEmCongresso	 	2015	QUEM CONTA UM CONTO APRENDE SUA HISTÓRIA. LITERATURA AFROBRASILEIRA NAS AÇÕES DO PIBID NOVEMBRO NEGRO	VII Salão Internacional de Ensino, Pesquisa e Extensão, 2015, Alegrete. QUEM CONTA UM CONTO APRENDE SUA HISTÓRIA. LITERATURA AFROBRASILEIRA NAS AÇÕES DO PIBID NOVEMBRO NEGRO	MESSIAS, Marta Iris Camargo; BARBOSA, A. R.		
resumoExpandidoEmCongresso	 	2015	RITMOS NO NOVEMBRO NEGRO, UMA AÇÃO REFLETIDA	VII Salão Internacional de Ensino, Pesquisa e Extensão, 2015, Alegrete. RITMOS NO NOVEMBRO NEGRO, UMA AÇÃO REFLETIDA	MESSIAS, Marta Iris Camargo; CARPES, L.		
resumoExpandidoEmCongresso	 	2015	PROJETO NOVOS TALENTOS: SUBPROJETO EDUCAÇÃO FÍSICA	VII Salão Internacional de Ensino, Pesquisa e Extensão, 2015, Alegrete. PROJETO NOVOS TALENTOS: SUBPROJETO EDUCAÇÃO FÍSICA	MESSIAS, Marta Iris Camargo; NORONHA, D. M.		
resumoExpandidoEmCongresso	 	2015	INCLUSÃO: A UNIVERSIDADE E A PESSOA COM DEFICIÊNCIA	VII Salão Internacional de Ensino, Pesquisa, e Extensão, 2015, Alegrete. INCLUSÃO: A UNIVERSIDADE E A PESSOA COM DEFICIÊNCIA	MESSIAS, Marta Iris Camargo; SILVEIRA, A. F. C.		
resumoExpandidoEmCongresso	 	2015	Proteinemia e globulinemia para avaliar a falha na transferência da imunidade passiva em cordeiros	III Workshop em Bovinos, 2015, Uruguaiana. Anais I Mostra Científica de Buiatria	MIILLER, I. ; MACHADO, J. M. ; VILLELA, C. E. S. ; FIEDLER, E. ; BICCA, D. F. ; NORO, M.		
resumoExpandidoEmCongresso	 	2015	Variações de indicadores energéticos-proteicos durante a lactação de vacas leiteiras	II Simpósio Internacional de Produção Leiteira, 2015, Santa Maria. I Mostra Científica em Produção Leiteira	MIILLER, I. ; WAGEMANN, C. ; SEPULVEDA-VARAS, P. ; NORO, M.		
resumoExpandidoEmCongresso	 	2015	Anatomia radiográfica da mão de suíno casco-de-burro	VII Salão Internacional de Ensino, Pesquisa e Extensão, 2015, Alegrete. Anais do Salão Internacional de Ensino, Pesquisa e Extensão	MINUZZI, J. S. ; PRESTES, R. S. ; COLDEBELLA, I. J. ; POZZOBON, R. ; SOUZA JUNIOR, P.		
resumoExpandidoEmCongresso	 	2015	Surto de tuberculose bovina em propriedade do sudoeste do Paraná	III Workshop em Bovinos, 2015, Uruguaiana. I Mostra Científica em Buiatria	MISSIO, D. ; PAIM, J. ; LISTON, M. A. ; Brum, D.S.		
resumoExpandidoEmCongresso	 	2015	Lipidose Hepática por Distúrbio Comportamental em um felino	3º Congresso Brasileiro de Patologia Veterinária - ENAPAVE, 2015, Belo Horizonte. Anais do 3º Congresso Brasileiro de Patologia Veterinária - ENAPAVE	MORAIS, R. M. ; SILVEIRA, C. S. ; ANJOS, B. L.		
resumoExpandidoEmCongresso	 	2015	AÇÕES INTERDISCIPLINARES PARA PROMOÇÃO DA SAÚDE FÍSICA E COGNITIVA EM IDOSOS: UM RELATO DO PROEXT/MEC	VII Salão Internacional de Ensino, Pesquisa e Extensão ? Universidade Federal do Pampa, 2015, Bagé. VII Salão Internacional de Ensino, Pesquisa e Extensão ? Universidade Federal do Pampa	MORO, C. F. ; VIEIRA, P. ; PRIARIO, L. A. A. ; PEREIRA, M. L. A. ; CECCON, F. G. ; CARPES, Felipe Pivetta		
resumoExpandidoEmCongresso	 	2015	PERCEPÇÃO DOS ALUNOS QUANTO A UTILIZAÇÃO DE UMA FERRAMENTA DE INOVAÇÃO DIDÁTICO-PEDAGÓGICA NO ENSINO SUPERIOR	VII Salão Internacional de Ensino, Pesquisa e Extensão ? Universidade Federal do Pampa, 2015, Bagé. VII Salão Internacional de Ensino, Pesquisa e Extensão ? Universidade Federal do Pampa	MOTA, E. ; DA ROCHA, EMMANUEL S. ; CARPES, FP		
resumoExpandidoEmCongresso	 	2015	A PISTA DE SKATE COMO CENÁRIO DO ENSINO DA FÍSICA: A CIÊNCIA PRESENTE NO ESPORTE	VII Salão Internacional de Ensino,Pesquisa e Extensão, 2015, Alegrete-RS. VII Salão Internacional de Ensino,Pesquisa e Extensão	MULLER, T. P. ; SANTOS, V. E. M. ; DINARDI, A. J.		
resumoExpandidoEmCongresso	 	2015	Carência de fósforo nos rebanhos leiteiros: uma realidade ou um mito?	II Simpósio Internacional de Produção Leiteira, 2015, Santa Maria. I Mostra Científica em Produção Leiteira	NARDES, S. I. ; BONDAN, C. ; González, F.H.D ; NORO, M.		
resumoExpandidoEmCongresso	 	2015	Colesterolemia: predictor de desbalances metabólico nutricionales em vacas lecheras	XLIII Jornadas Uruguayas de Buiatría, 2015, Paysandú. Anales XLIII Jornadas Uruguayas de Buiatría	NORO, M.; WAGEMANN, C. ; SEPÚLVEDA, P.C.		
